epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,697.767,0.77396,0.51605,0.95999,0.94125,0.82428,0.87751,0.68072,0.87676,0.63844,1.05309,0.0009506,0.0009506,0.0009506
55,710.603,0.77499,0.52426,0.96433,0.93542,0.82169,0.87509,0.68004,0.86882,0.65516,1.04828,0.0009308,0.0009308,0.0009308
56,723.42,0.77295,0.53247,0.96677,0.96313,0.81926,0.88418,0.67682,0.88306,0.63453,1.05726,0.000911,0.000911,0.000911
57,736.262,0.78373,0.5137,0.9607,0.91276,0.82817,0.86938,0.67641,0.88476,0.66486,1.05848,0.0008912,0.0008912,0.0008912
58,749.147,0.77578,0.50999,0.96521,0.94,0.82671,0.8781,0.68107,0.87695,0.63,1.04852,0.0008714,0.0008714,0.0008714
59,761.959,0.77264,0.5323,0.96456,0.93799,0.81824,0.87717,0.67769,0.86998,0.65423,1.052,0.0008516,0.0008516,0.0008516
60,774.827,0.77495,0.53105,0.96743,0.94789,0.81599,0.87685,0.68435,0.85512,0.61983,1.03466,0.0008318,0.0008318,0.0008318
61,787.666,0.747,0.51418,0.95748,0.92917,0.83073,0.87395,0.68393,0.86823,0.64186,1.04959,0.000812,0.000812,0.000812
62,800.569,0.75182,0.48859,0.947,0.91693,0.84459,0.87685,0.67587,0.87738,0.6265,1.04928,0.0007922,0.0007922,0.0007922
63,813.584,0.75907,0.51105,0.95812,0.94592,0.8285,0.88255,0.68676,0.86721,0.62062,1.04704,0.0007724,0.0007724,0.0007724
64,826.403,0.74849,0.51469,0.95514,0.93985,0.83773,0.87906,0.68403,0.87247,0.61884,1.04735,0.0007526,0.0007526,0.0007526
65,839.224,0.75715,0.51042,0.95115,0.94149,0.83113,0.8818,0.68526,0.86584,0.62285,1.03804,0.0007328,0.0007328,0.0007328
66,852.017,0.76896,0.50843,0.9565,0.94145,0.82718,0.87649,0.67408,0.86936,0.62658,1.04585,0.000713,0.000713,0.000713
